com.highstreet-technologies.ops4j.pax.web:pax-web-jetty;com.highstreet-technologies.ops4j.pax.web;pax-web-jetty
org.webjars.bower:bootbox;org.webjars.bower;bootbox
io.bitbucket.android-universum:widget-adapters;io.bitbucket.android-universum;widget-adapters
org.daisy.xprocspec:xprocspec;org.daisy.xprocspec;xprocspec
org.lighthousegames:kmlogging;org.lighthousegames;kmlogging
org.lighthousegames:kmlogging-jvm;org.lighthousegames;kmlogging-jvm
org.lighthousegames:kmlogging-js;org.lighthousegames;kmlogging-js
org.lighthousegames:kmlogging-iosx64;org.lighthousegames;kmlogging-iosx64
org.lighthousegames:kmlogging-iossimulatorarm64;org.lighthousegames;kmlogging-iossimulatorarm64
org.lighthousegames:kmlogging-iosarm64;org.lighthousegames;kmlogging-iosarm64
org.lighthousegames:kmlogging-android;org.lighthousegames;kmlogging-android
org.lighthousegames:kmlogging-android-debug;org.lighthousegames;kmlogging-android-debug
org.into-cps.vdmcheck:fmi3;org.into-cps.vdmcheck;fmi3
org.into-cps.vdmcheck:xsd2vdm;org.into-cps.vdmcheck;xsd2vdm
org.into-cps.vdmcheck.fmi3:static-model;org.into-cps.vdmcheck.fmi3;static-model
org.into-cps.vdmcheck.fmi2:static-model;org.into-cps.vdmcheck.fmi2;static-model
org.into-cps.vdmcheck.fmi3:vdmcheck3;org.into-cps.vdmcheck.fmi3;vdmcheck3
org.into-cps.vdmcheck.fmi3:rule-model;org.into-cps.vdmcheck.fmi3;rule-model
org.into-cps:vdmcheck;org.into-cps;vdmcheck
org.into-cps.vdmcheck:fmuReader;org.into-cps.vdmcheck;fmuReader
org.into-cps.vdmcheck.fmi2:rule-model;org.into-cps.vdmcheck.fmi2;rule-model
org.into-cps.vdmcheck.fmi2:cosim2vdm;org.into-cps.vdmcheck.fmi2;cosim2vdm
org.into-cps.vdmcheck:fmi2;org.into-cps.vdmcheck;fmi2
org.into-cps.vdmcheck.fmi2:vdmcheck2;org.into-cps.vdmcheck.fmi2;vdmcheck2
org.into-cps.vdmcheck.fmi2:cosim-model;org.into-cps.vdmcheck.fmi2;cosim-model
