com.ofcoder.klein:klein;com.ofcoder.klein;klein
dev.whyoleg.cryptography:cryptography-serialization-asn1-watchosx64;dev.whyoleg.cryptography;cryptography-serialization-asn1-watchosx64
dev.whyoleg.cryptography:cryptography-serialization-pem-androidnativex64;dev.whyoleg.cryptography;cryptography-serialization-pem-androidnativex64
dev.whyoleg.cryptography:cryptography-serialization-asn1-watchossimulatorarm64;dev.whyoleg.cryptography;cryptography-serialization-asn1-watchossimulatorarm64
dev.whyoleg.cryptography:cryptography-serialization-pem-androidnativearm64;dev.whyoleg.cryptography;cryptography-serialization-pem-androidnativearm64
dev.whyoleg.cryptography:cryptography-serialization-asn1-watchosdevicearm64;dev.whyoleg.cryptography;cryptography-serialization-asn1-watchosdevicearm64
dev.whyoleg.cryptography:cryptography-serialization-pem-androidnativearm32;dev.whyoleg.cryptography;cryptography-serialization-pem-androidnativearm32
dev.whyoleg.cryptography:cryptography-serialization-asn1-watchosarm64;dev.whyoleg.cryptography;cryptography-serialization-asn1-watchosarm64
dev.whyoleg.cryptography:cryptography-provider-openssl3-prebuilt-watchosx64;dev.whyoleg.cryptography;cryptography-provider-openssl3-prebuilt-watchosx64
dev.whyoleg.cryptography:cryptography-serialization-asn1-watchosarm32;dev.whyoleg.cryptography;cryptography-serialization-asn1-watchosarm32
dev.whyoleg.cryptography:cryptography-provider-openssl3-prebuilt-watchossimulatorarm64;dev.whyoleg.cryptography;cryptography-provider-openssl3-prebuilt-watchossimulatorarm64
dev.whyoleg.cryptography:cryptography-serialization-asn1-wasm-wasi;dev.whyoleg.cryptography;cryptography-serialization-asn1-wasm-wasi
dev.whyoleg.cryptography:cryptography-serialization-asn1-wasm-js;dev.whyoleg.cryptography;cryptography-serialization-asn1-wasm-js
dev.whyoleg.cryptography:cryptography-provider-openssl3-prebuilt-watchosdevicearm64;dev.whyoleg.cryptography;cryptography-provider-openssl3-prebuilt-watchosdevicearm64
dev.whyoleg.cryptography:cryptography-serialization-asn1-tvosx64;dev.whyoleg.cryptography;cryptography-serialization-asn1-tvosx64
dev.whyoleg.cryptography:cryptography-provider-openssl3-prebuilt-watchosarm64;dev.whyoleg.cryptography;cryptography-provider-openssl3-prebuilt-watchosarm64
dev.whyoleg.cryptography:cryptography-serialization-asn1-tvossimulatorarm64;dev.whyoleg.cryptography;cryptography-serialization-asn1-tvossimulatorarm64
dev.whyoleg.cryptography:cryptography-serialization-asn1-tvosarm64;dev.whyoleg.cryptography;cryptography-serialization-asn1-tvosarm64
dev.whyoleg.cryptography:cryptography-provider-openssl3-prebuilt-watchosarm32;dev.whyoleg.cryptography;cryptography-provider-openssl3-prebuilt-watchosarm32
dev.whyoleg.cryptography:cryptography-serialization-asn1-mingwx64;dev.whyoleg.cryptography;cryptography-serialization-asn1-mingwx64
dev.whyoleg.cryptography:cryptography-serialization-asn1-macosx64;dev.whyoleg.cryptography;cryptography-serialization-asn1-macosx64
dev.whyoleg.cryptography:cryptography-provider-openssl3-prebuilt-tvosx64;dev.whyoleg.cryptography;cryptography-provider-openssl3-prebuilt-tvosx64
dev.whyoleg.cryptography:cryptography-serialization-asn1-macosarm64;dev.whyoleg.cryptography;cryptography-serialization-asn1-macosarm64
dev.whyoleg.cryptography:cryptography-provider-openssl3-prebuilt-tvossimulatorarm64;dev.whyoleg.cryptography;cryptography-provider-openssl3-prebuilt-tvossimulatorarm64
dev.whyoleg.cryptography:cryptography-serialization-asn1-linuxx64;dev.whyoleg.cryptography;cryptography-serialization-asn1-linuxx64
dev.whyoleg.cryptography:cryptography-provider-openssl3-prebuilt-tvosarm64;dev.whyoleg.cryptography;cryptography-provider-openssl3-prebuilt-tvosarm64
dev.whyoleg.cryptography:cryptography-serialization-asn1-linuxarm64;dev.whyoleg.cryptography;cryptography-serialization-asn1-linuxarm64
dev.whyoleg.cryptography:cryptography-provider-openssl3-prebuilt-mingwx64;dev.whyoleg.cryptography;cryptography-provider-openssl3-prebuilt-mingwx64
dev.whyoleg.cryptography:cryptography-serialization-asn1;dev.whyoleg.cryptography;cryptography-serialization-asn1
dev.whyoleg.cryptography:cryptography-serialization-asn1-jvm;dev.whyoleg.cryptography;cryptography-serialization-asn1-jvm
dev.whyoleg.cryptography:cryptography-provider-openssl3-prebuilt-macosx64;dev.whyoleg.cryptography;cryptography-provider-openssl3-prebuilt-macosx64
dev.whyoleg.cryptography:cryptography-serialization-asn1-js;dev.whyoleg.cryptography;cryptography-serialization-asn1-js
dev.whyoleg.cryptography:cryptography-provider-openssl3-prebuilt-macosarm64;dev.whyoleg.cryptography;cryptography-provider-openssl3-prebuilt-macosarm64
dev.whyoleg.cryptography:cryptography-serialization-asn1-iosx64;dev.whyoleg.cryptography;cryptography-serialization-asn1-iosx64
dev.whyoleg.cryptography:cryptography-provider-openssl3-prebuilt-linuxx64;dev.whyoleg.cryptography;cryptography-provider-openssl3-prebuilt-linuxx64
dev.whyoleg.cryptography:cryptography-serialization-asn1-iossimulatorarm64;dev.whyoleg.cryptography;cryptography-serialization-asn1-iossimulatorarm64
dev.whyoleg.cryptography:cryptography-provider-openssl3-prebuilt-linuxarm64;dev.whyoleg.cryptography;cryptography-provider-openssl3-prebuilt-linuxarm64
dev.whyoleg.cryptography:cryptography-serialization-asn1-iosarm64;dev.whyoleg.cryptography;cryptography-serialization-asn1-iosarm64
