org.neo4j:parent-central;org.neo4j;parent-central
com.googlecode.hiberpcml:hiberpcml;com.googlecode.hiberpcml;hiberpcml
org.jboss.logmanager:jboss-logmanager-log4j;org.jboss.logmanager;jboss-logmanager-log4j
com.dtrules:TestProject;com.dtrules;TestProject
com.dtrules:kidaid_app;com.dtrules;kidaid_app
com.dtrules:kidaid;com.dtrules;kidaid
com.dtrules:sampleprojects;com.dtrules;sampleprojects
com.dtrules:el;com.dtrules;el
com.dtrules:dsl;com.dtrules;dsl
com.dtrules:compilerutil;com.dtrules;compilerutil
com.dtrules:dtrules;com.dtrules;dtrules
com.dtrules:dtrules-parent;com.dtrules;dtrules-parent
it.tidalwave.bluebill:bluebill-resources-modules;it.tidalwave.bluebill;bluebill-resources-modules
it.tidalwave.bluebill:it-tidalwave-bluebill-factsheet-wikipedia-photos;it.tidalwave.bluebill;it-tidalwave-bluebill-factsheet-wikipedia-photos
it.tidalwave.bluebill:it-tidalwave-bluebill-taxonomy-birds-ebn-italia-2003;it.tidalwave.bluebill;it-tidalwave-bluebill-taxonomy-birds-ebn-italia-2003
it.tidalwave.bluebill:bluebill-mobile-resources-generator;it.tidalwave.bluebill;bluebill-mobile-resources-generator
it.tidalwave.bluebill:it-tidalwave-bluebill-taxonomy-birds-birdsofindia-2009;it.tidalwave.bluebill;it-tidalwave-bluebill-taxonomy-birds-birdsofindia-2009
it.tidalwave.bluebill:bluebill-resources;it.tidalwave.bluebill;bluebill-resources
it.tidalwave.bluebill:it-tidalwave-bluebill-taxonomy-birds;it.tidalwave.bluebill;it-tidalwave-bluebill-taxonomy-birds
