com.microsoft.azure:azure-mediaservices-spring-boot-autoconfigure;com.microsoft.azure;azure-mediaservices-spring-boot-autoconfigure
com.microsoft.azure:azure-keyvault-secrets-spring-boot;com.microsoft.azure;azure-keyvault-secrets-spring-boot
org.webjars.npm:github-com-socketio-engine-io-client;org.webjars.npm;github-com-socketio-engine-io-client
de.lhorn:dropwizard-helloworld;de.lhorn;dropwizard-helloworld
org.webjars.npm:github-com-Viima-jquery-comments;org.webjars.npm;github-com-Viima-jquery-comments
org.webjars.npm:once;org.webjars.npm;once
lt.saltyjuice.dragas:chatty-irc;lt.saltyjuice.dragas;chatty-irc
de.endrullis.draggabletabs:draggabletabs;de.endrullis.draggabletabs;draggabletabs
com.sudoplay.json:SudoJson;com.sudoplay.json;SudoJson
jp.co.recruit_mp:android-CircleProgressView;jp.co.recruit_mp;android-CircleProgressView
com.yanzhenjie:mediascanner;com.yanzhenjie;mediascanner
io.github.svndump-to-git:converter-parent;io.github.svndump-to-git;converter-parent
io.github.svndump-to-git:git-importer-ks-plugin;io.github.svndump-to-git;git-importer-ks-plugin
io.github.svndump-to-git:git-importer;io.github.svndump-to-git;git-importer
io.kwy.boot:spring-boot-build;io.kwy.boot;spring-boot-build
io.github.svndump-to-git:git-repo-cleaner;io.github.svndump-to-git;git-repo-cleaner
io.github.svndump-to-git:parent-pom;io.github.svndump-to-git;parent-pom
br.com.perolasoftware.framework:perola-framework;br.com.perolasoftware.framework;perola-framework
br.com.perolasoftware.framework:aggregator-perola-framework-web;br.com.perolasoftware.framework;aggregator-perola-framework-web
br.com.perolasoftware.framework:framework-ear;br.com.perolasoftware.framework;framework-ear
br.com.perolasoftware.framework:framework-web;br.com.perolasoftware.framework;framework-web
br.com.perolasoftware.framework:aggregator-perola-framework-business;br.com.perolasoftware.framework;aggregator-perola-framework-business
br.com.perolasoftware.framework:framework-facade-impl;br.com.perolasoftware.framework;framework-facade-impl
br.com.perolasoftware.framework:framework-facade;br.com.perolasoftware.framework;framework-facade
br.com.perolasoftware.framework:framework-business;br.com.perolasoftware.framework;framework-business
br.com.perolasoftware.framework:framework-persistence;br.com.perolasoftware.framework;framework-persistence
br.com.perolasoftware.framework:aggregator-perola-components;br.com.perolasoftware.framework;aggregator-perola-components
br.com.perolasoftware.framework:aggregator-perola-components-jbpmcomponent;br.com.perolasoftware.framework;aggregator-perola-components-jbpmcomponent
