com.github.f1xmAn:jschedule-ds;com.github.f1xmAn;jschedule-ds
org.apache.felix:org.apache.felix.http;org.apache.felix;org.apache.felix.http
org.apache.felix:org.apache.felix.http.samples.cometd;org.apache.felix;org.apache.felix.http.samples.cometd
org.apache.felix:org.apache.felix.http.samples.whiteboard;org.apache.felix;org.apache.felix.http.samples.whiteboard
org.apache.felix:org.apache.felix.http.samples.bridge;org.apache.felix;org.apache.felix.http.samples.bridge
org.apache.felix:org.apache.felix.http.samples.filter;org.apache.felix;org.apache.felix.http.samples.filter
org.apache.felix:org.apache.felix.http.itest;org.apache.felix;org.apache.felix.http.itest
org.apache.felix:org.apache.felix.http.cometd;org.apache.felix;org.apache.felix.http.cometd
com.helger:cipa-start-jmsreceiver;com.helger;cipa-start-jmsreceiver
com.helger:cipa-start-jmssender;com.helger;cipa-start-jmssender
com.helger:cipa-start-jms-api;com.helger;cipa-start-jms-api
io.fabric8.jube.images.examples:hello-servlet;io.fabric8.jube.images.examples;hello-servlet
io.fabric8.jube.images.examples:cxf-cdi;io.fabric8.jube.images.examples;cxf-cdi
io.fabric8.jube.images.examples:camel-cbr;io.fabric8.jube.images.examples;camel-cbr
io.fabric8.jube.images.examples:parent-project;io.fabric8.jube.images.examples;parent-project
com.andrewreitz.velcro:velcro;com.andrewreitz.velcro;velcro
com.andrewreitz.velcro:velcro-project;com.andrewreitz.velcro;velcro-project
com.robbypond:material-dialogs;com.robbypond;material-dialogs
org.scoverage:maven-scoverage-plugin;org.scoverage;maven-scoverage-plugin
com.raycoarana:roborouter;com.raycoarana;roborouter
com.github.signed.inmemory.shared:configuration;com.github.signed.inmemory.shared;configuration
com.github.signed.inmemory.sftp:sftp-server-junit;com.github.signed.inmemory.sftp;sftp-server-junit
