net.corda.cordapp.cordapp-configuration:net.corda.cordapp.cordapp-configuration.gradle.plugin;net.corda.cordapp.cordapp-configuration;net.corda.cordapp.cordapp-configuration.gradle.plugin
be.orbinson.osgi:opentelemetry-exporter-logging;be.orbinson.osgi;opentelemetry-exporter-logging
be.orbinson.osgi:opentelemetry-sdk;be.orbinson.osgi;opentelemetry-sdk
be.orbinson.osgi:opentelemetry-sdk-trace;be.orbinson.osgi;opentelemetry-sdk-trace
be.orbinson.osgi:opentelemetry-sdk-metrics;be.orbinson.osgi;opentelemetry-sdk-metrics
be.orbinson.osgi:opentelemetry-sdk-extension-autoconfigure-spi;be.orbinson.osgi;opentelemetry-sdk-extension-autoconfigure-spi
be.orbinson.osgi:opentelemetry-semconv;be.orbinson.osgi;opentelemetry-semconv
be.orbinson.osgi:opentelemetry-context;be.orbinson.osgi;opentelemetry-context
be.orbinson.osgi:opentelemetry-exporter-otlp;be.orbinson.osgi;opentelemetry-exporter-otlp
be.orbinson.osgi:opentelemetry-java-instrumentation;be.orbinson.osgi;opentelemetry-java-instrumentation
be.orbinson.osgi:opentelemetry-logback-appender-1.0;be.orbinson.osgi;opentelemetry-logback-appender-1.0
be.orbinson.osgi:opentelemetry-sdk-common;be.orbinson.osgi;opentelemetry-sdk-common
be.orbinson.osgi:opentelemetry-exporter-common;be.orbinson.osgi;opentelemetry-exporter-common
be.orbinson.osgi:opentelemetry-sdk-extension-incubator;be.orbinson.osgi;opentelemetry-sdk-extension-incubator
be.orbinson.osgi:opentelemetry-api-incubator;be.orbinson.osgi;opentelemetry-api-incubator
be.orbinson.osgi:opentelemetry-instrumentation-annotations;be.orbinson.osgi;opentelemetry-instrumentation-annotations
be.orbinson.osgi:opentelemetry-instrumentation-api-incubator;be.orbinson.osgi;opentelemetry-instrumentation-api-incubator
be.orbinson.osgi:opentelemetry-exporter-otlp-common;be.orbinson.osgi;opentelemetry-exporter-otlp-common
be.orbinson.osgi:opentelemetry-api;be.orbinson.osgi;opentelemetry-api
be.orbinson.osgi:opentelemetry-java;be.orbinson.osgi;opentelemetry-java
be.orbinson.osgi:opentelemetry-instrumentation-api;be.orbinson.osgi;opentelemetry-instrumentation-api
be.orbinson.osgi:opentelemetry-sdk-logs;be.orbinson.osgi;opentelemetry-sdk-logs
com.google.apis:google-api-services-readerrevenuesubscriptionlinking;com.google.apis;google-api-services-readerrevenuesubscriptionlinking
org.endpoints4s:play-client_3;org.endpoints4s;play-client_3
org.endpoints4s:play-server_2.13;org.endpoints4s;play-server_2.13
org.endpoints4s:play-client_2.13;org.endpoints4s;play-client_2.13
org.endpoints4s:play-server_3;org.endpoints4s;play-server_3
org.endpoints4s:play-server-circe_2.13;org.endpoints4s;play-server-circe_2.13
org.endpoints4s:play-server-circe_3;org.endpoints4s;play-server-circe_3
org.mvnpm:external-svg-loader;org.mvnpm;external-svg-loader
org.mvnpm:idb-keyval;org.mvnpm;idb-keyval
com.irurueta:irurueta-statistics;com.irurueta;irurueta-statistics
org.mvnpm:string-width;org.mvnpm;string-width
org.apache.maven.plugins:maven-dependency-plugin;org.apache.maven.plugins;maven-dependency-plugin
com.channelape:shopify-sdk;com.channelape;shopify-sdk
com.authlete.http:http-field-parser;com.authlete.http;http-field-parser
tech.ant8e:uuid4cats-effect_2.13;tech.ant8e;uuid4cats-effect_2.13
tech.ant8e:uuid4cats-effect_3;tech.ant8e;uuid4cats-effect_3
tech.ant8e:uuid4cats-effect_sjs1_3;tech.ant8e;uuid4cats-effect_sjs1_3
tech.ant8e:uuid4cats-effect_sjs1_2.13;tech.ant8e;uuid4cats-effect_sjs1_2.13
io.gdcc:xoai;io.gdcc;xoai
io.gdcc:xoai-service-provider;io.gdcc;xoai-service-provider
io.gdcc:xoai-common;io.gdcc;xoai-common
io.gdcc:xoai-xmlio;io.gdcc;xoai-xmlio
io.gdcc:xoai-data-provider;io.gdcc;xoai-data-provider
bio.ferlab:obo-parser_2.12;bio.ferlab;obo-parser_2.12
io.gdcc:parent;io.gdcc;parent
io.gitlab.spring-cattle.framework:cattle-db-core;io.gitlab.spring-cattle.framework;cattle-db-core
org.mobilenativefoundation.store:paging5-linuxx64;org.mobilenativefoundation.store;paging5-linuxx64
org.mobilenativefoundation.store:paging5;org.mobilenativefoundation.store;paging5
org.mobilenativefoundation.store:paging5-jvm;org.mobilenativefoundation.store;paging5-jvm
org.mobilenativefoundation.store:paging5-js;org.mobilenativefoundation.store;paging5-js
org.mobilenativefoundation.store:paging5-iosx64;org.mobilenativefoundation.store;paging5-iosx64
org.mobilenativefoundation.store:paging5-iossimulatorarm64;org.mobilenativefoundation.store;paging5-iossimulatorarm64
org.mobilenativefoundation.store:paging5-iosarm64;org.mobilenativefoundation.store;paging5-iosarm64
io.ecocode:ecocode-rules-specifications;io.ecocode;ecocode-rules-specifications
io.ecocode:ecocode-parent;io.ecocode;ecocode-parent
org.opendaylight.controller:odl-controller-exp-netty-config;org.opendaylight.controller;odl-controller-exp-netty-config
org.opendaylight.controller:threadpool-config-api;org.opendaylight.controller;threadpool-config-api
org.opendaylight.controller:threadpool-config-impl;org.opendaylight.controller;threadpool-config-impl
org.opendaylight.controller:netty-threadgroup-config;org.opendaylight.controller;netty-threadgroup-config
org.opendaylight.controller:netty-timer-config;org.opendaylight.controller;netty-timer-config
org.opendaylight.controller:netty-event-executor-config;org.opendaylight.controller;netty-event-executor-config
io.github.wldt:mqtt-physical-adapter;io.github.wldt;mqtt-physical-adapter
org.mvnpm.at.emotion:weak-memoize;org.mvnpm.at.emotion;weak-memoize
org.webjars.npm:signature_pad;org.webjars.npm;signature_pad
com.anaptecs.jeaf.generator:jeaf-meta-model-project;com.anaptecs.jeaf.generator;jeaf-meta-model-project
com.anaptecs.jeaf.generator:jeaf-meta-model;com.anaptecs.jeaf.generator;jeaf-meta-model
com.anaptecs.jeaf.generator:jeaf-meta-model-docs;com.anaptecs.jeaf.generator;jeaf-meta-model-docs
com.anaptecs.jeaf.generator:jeaf-meta-model-templates;com.anaptecs.jeaf.generator;jeaf-meta-model-templates
com.canopas:compose_recyclerview;com.canopas;compose_recyclerview
name.dmaus.schxslt:ant;name.dmaus.schxslt;ant
name.dmaus.schxslt:cli;name.dmaus.schxslt;cli
name.dmaus.schxslt:schxslt-parent;name.dmaus.schxslt;schxslt-parent
name.dmaus.schxslt:schxslt;name.dmaus.schxslt;schxslt
org.kotools:types-kotlinx-serialization-windows;org.kotools;types-kotlinx-serialization-windows
org.kotools:types-kotlinx-serialization-macos;org.kotools;types-kotlinx-serialization-macos
org.kotools:types-kotlinx-serialization-linux;org.kotools;types-kotlinx-serialization-linux
org.kotools:types-windows;org.kotools;types-windows
org.kotools:types-macos;org.kotools;types-macos
org.kotools:types-linux;org.kotools;types-linux
org.kotools:types-internal-windows;org.kotools;types-internal-windows
org.kotools:types-internal-macos;org.kotools;types-internal-macos
org.kotools:types-internal-linux;org.kotools;types-internal-linux
io.github.the-best-is-best:kyoutube-wasm-js;io.github.the-best-is-best;kyoutube-wasm-js
io.github.the-best-is-best:kyoutube;io.github.the-best-is-best;kyoutube
io.github.the-best-is-best:kyoutube-jvm;io.github.the-best-is-best;kyoutube-jvm
io.github.the-best-is-best:kyoutube-js;io.github.the-best-is-best;kyoutube-js
io.github.the-best-is-best:kyoutube-iosx64;io.github.the-best-is-best;kyoutube-iosx64
io.github.the-best-is-best:kyoutube-iossimulatorarm64;io.github.the-best-is-best;kyoutube-iossimulatorarm64
io.github.the-best-is-best:kyoutube-iosarm64;io.github.the-best-is-best;kyoutube-iosarm64
io.github.the-best-is-best:kyoutube-android;io.github.the-best-is-best;kyoutube-android
com.github.javaclub:sword;com.github.javaclub;sword
org.openml:openmlweka;org.openml;openmlweka
org.mvnpm:Tempus;org.mvnpm;Tempus
org.webjars.npm:tinymce-i18n;org.webjars.npm;tinymce-i18n
org.apache.maven.plugins:maven-help-plugin;org.apache.maven.plugins;maven-help-plugin
org.sentrysoftware:metricshub-localsql-source-extension;org.sentrysoftware;metricshub-localsql-source-extension
io.github.msg-systems:jpowermonitor;io.github.msg-systems;jpowermonitor
org.aksw.thirdparty.com.mlottmann.VStepper:VStepper;org.aksw.thirdparty.com.mlottmann.VStepper;VStepper
com.factset.analyticsapi:engines-sdk;com.factset.analyticsapi;engines-sdk
at.datenwort.commons:agents-from-service-impl;at.datenwort.commons;agents-from-service-impl
at.datenwort.commons:agents-from-service-api;at.datenwort.commons;agents-from-service-api
at.datenwort.commons:agents-from-service;at.datenwort.commons;agents-from-service
com.colisweb:google-drive-scala-client_2.12;com.colisweb;google-drive-scala-client_2.12
com.colisweb:google-drive-scala-client-cats_2.12;com.colisweb;google-drive-scala-client-cats_2.12
com.colisweb:google-drive-scala-client-zio_2.12;com.colisweb;google-drive-scala-client-zio_2.12
org.mvnpm.at.eonasdan:tempus-dominus;org.mvnpm.at.eonasdan;tempus-dominus
fr.xgouchet.elmyr:spek;fr.xgouchet.elmyr;spek
fr.xgouchet.elmyr:semantics;fr.xgouchet.elmyr;semantics
fr.xgouchet.elmyr:jvm;fr.xgouchet.elmyr;jvm
fr.xgouchet.elmyr:junit5;fr.xgouchet.elmyr;junit5
org.opendaylight.mdsal:mdsal-singleton-common-api;org.opendaylight.mdsal;mdsal-singleton-common-api
org.opendaylight.mdsal:mdsal-singleton-dom-impl;org.opendaylight.mdsal;mdsal-singleton-dom-impl
org.opendaylight.mdsal:mdsal-eos-common-spi;org.opendaylight.mdsal;mdsal-eos-common-spi
org.opendaylight.mdsal:dom-parent;org.opendaylight.mdsal;dom-parent
fr.xgouchet.elmyr:junit4;fr.xgouchet.elmyr;junit4
fr.xgouchet.elmyr:inject;fr.xgouchet.elmyr;inject
fr.xgouchet.elmyr:core;fr.xgouchet.elmyr;core
org.imixs.workflow:imixs-micro-client;org.imixs.workflow;imixs-micro-client
org.imixs.workflow:imixs-micro-engine;org.imixs.workflow;imixs-micro-engine
org.imixs.workflow:imixs-micro;org.imixs.workflow;imixs-micro
org.webjars.npm:zxing__library;org.webjars.npm;zxing__library
io.github.epicarchitect:epic-calendar-compose;io.github.epicarchitect;epic-calendar-compose
io.github.epicarchitect:epic-calendar-compose-jvm;io.github.epicarchitect;epic-calendar-compose-jvm
io.github.epicarchitect:epic-calendar-compose-js;io.github.epicarchitect;epic-calendar-compose-js
io.github.epicarchitect:epic-calendar-compose-iosx64;io.github.epicarchitect;epic-calendar-compose-iosx64
io.github.epicarchitect:epic-calendar-compose-iossimulatorarm64;io.github.epicarchitect;epic-calendar-compose-iossimulatorarm64
io.github.epicarchitect:epic-calendar-compose-iosarm64;io.github.epicarchitect;epic-calendar-compose-iosarm64
io.github.epicarchitect:epic-calendar-compose-android;io.github.epicarchitect;epic-calendar-compose-android
org.radarbase:radar-expression-lang;org.radarbase;radar-expression-lang
org.radarbase:radar-app-config-core;org.radarbase;radar-app-config-core
org.radarbase:radar-app-config-client;org.radarbase;radar-app-config-client
io.github.redteamobile:test-deploy-to-stn;io.github.redteamobile;test-deploy-to-stn
com.kucoin.futures:kucoin-futures-java-sdk;com.kucoin.futures;kucoin-futures-java-sdk
io.github.heykb:mybatis-sqlhelper-spring-boot;io.github.heykb;mybatis-sqlhelper-spring-boot
io.github.heykb:mybatis-sqlhelper-spring-boot-starter;io.github.heykb;mybatis-sqlhelper-spring-boot-starter
io.github.heykb:mybatis-sqlhelper-spring;io.github.heykb;mybatis-sqlhelper-spring
io.github.heykb:mybatis-sqlhelper-spring-boot-autoconfigure;io.github.heykb;mybatis-sqlhelper-spring-boot-autoconfigure
io.github.heykb:mybatis-sqlhelper;io.github.heykb;mybatis-sqlhelper
io.github.heykb:mybatis-sqlhelper-parent;io.github.heykb;mybatis-sqlhelper-parent
org.scala-sbt:launcher;org.scala-sbt;launcher
org.scala-sbt:launcher-interface;org.scala-sbt;launcher-interface
io.github.accipiter2000:om;io.github.accipiter2000;om
org.scala-sbt.ipcsocket:ipcsocket;org.scala-sbt.ipcsocket;ipcsocket
top.mrxiaom:qrcode-encoder;top.mrxiaom;qrcode-encoder
com.aliyun:aliyun-java-sdk-domain;com.aliyun;aliyun-java-sdk-domain
software.visionary:collections;software.visionary;collections
cv.igrp:igrp-archetype-horizon;cv.igrp;igrp-archetype-horizon
cv.igrp:igrp-archetype-legacy;cv.igrp;igrp-archetype-legacy
cv.igrp:igrp-archetypes;cv.igrp;igrp-archetypes
io.goodforgod:liquibase-clickhouse;io.goodforgod;liquibase-clickhouse
org.apache.zookeeper:zookeeper-contrib-zooinspector;org.apache.zookeeper;zookeeper-contrib-zooinspector
org.apache.zookeeper:zookeeper-contrib-rest;org.apache.zookeeper;zookeeper-contrib-rest
org.apache.zookeeper:zookeeper-contrib-loggraph;org.apache.zookeeper;zookeeper-contrib-loggraph
org.apache.zookeeper:zookeeper-contrib-fatjar;org.apache.zookeeper;zookeeper-contrib-fatjar
org.apache.zookeeper:zookeeper-contrib;org.apache.zookeeper;zookeeper-contrib
org.apache.zookeeper:zookeeper-it;org.apache.zookeeper;zookeeper-it
org.apache.zookeeper:zookeeper-prometheus-metrics;org.apache.zookeeper;zookeeper-prometheus-metrics
org.apache.zookeeper:zookeeper-metrics-providers;org.apache.zookeeper;zookeeper-metrics-providers
org.apache.zookeeper:zookeeper;org.apache.zookeeper;zookeeper
org.apache.zookeeper:zookeeper-jute;org.apache.zookeeper;zookeeper-jute
org.apache.zookeeper:parent;org.apache.zookeeper;parent
io.github.wldt:mqtt-digital-adapter;io.github.wldt;mqtt-digital-adapter
com.vertica.jdbc:vertica-jdbc;com.vertica.jdbc;vertica-jdbc
org.mvnpm.at.mui:base;org.mvnpm.at.mui;base
com.dropbox.focus:com.dropbox.focus.gradle.plugin;com.dropbox.focus;com.dropbox.focus.gradle.plugin
com.dropbox.focus:focus;com.dropbox.focus;focus
io.github.jwharm.cairobindings:cairo;io.github.jwharm.cairobindings;cairo
fyi.fax.klassindex:processor;fyi.fax.klassindex;processor
fyi.fax.klassindex:library;fyi.fax.klassindex;library
org.apache.beam:beam-vendor-grpc-1_60_1;org.apache.beam;beam-vendor-grpc-1_60_1
org.primefaces.themes:le-frog;org.primefaces.themes;le-frog
org.primefaces.themes:sunny;org.primefaces.themes;sunny
org.primefaces.themes:bluesky;org.primefaces.themes;bluesky
org.primefaces.themes:sam;org.primefaces.themes;sam
org.primefaces.themes:overcast;org.primefaces.themes;overcast
org.primefaces.themes:swanky-purse;org.primefaces.themes;swanky-purse
org.primefaces.themes:start;org.primefaces.themes;start
org.primefaces.themes:redmond;org.primefaces.themes;redmond
org.primefaces.themes:afterwork;org.primefaces.themes;afterwork
org.primefaces.themes:flick;org.primefaces.themes;flick
org.primefaces.themes:all-themes;org.primefaces.themes;all-themes
org.primefaces.themes:cupertino;org.primefaces.themes;cupertino
org.primefaces.themes:rocket;org.primefaces.themes;rocket
org.primefaces.themes:themes-project;org.primefaces.themes;themes-project
org.primefaces.themes:omega;org.primefaces.themes;omega
org.primefaces.themes:afterdark;org.primefaces.themes;afterdark
org.primefaces.themes:ui-lightness;org.primefaces.themes;ui-lightness
org.primefaces.themes:blitzer;org.primefaces.themes;blitzer
org.primefaces.themes:trontastic;org.primefaces.themes;trontastic
org.primefaces.themes:smoothness;org.primefaces.themes;smoothness
org.primefaces.themes:excite-bike;org.primefaces.themes;excite-bike
org.primefaces.themes:cruze;org.primefaces.themes;cruze
org.primefaces.themes:bootstrap;org.primefaces.themes;bootstrap
org.primefaces.themes:hot-sneaks;org.primefaces.themes;hot-sneaks
org.primefaces.themes:dot-luv;org.primefaces.themes;dot-luv
org.primefaces.themes:afternoon;org.primefaces.themes;afternoon
org.primefaces.themes:humanity;org.primefaces.themes;humanity
org.primefaces.themes:casablanca;org.primefaces.themes;casablanca
org.primefaces.themes:ui-darkness;org.primefaces.themes;ui-darkness
org.primefaces.themes:midnight;org.primefaces.themes;midnight
org.primefaces.themes:mint-choc;org.primefaces.themes;mint-choc
org.primefaces.themes:vader;org.primefaces.themes;vader
org.primefaces.themes:dark-hive;org.primefaces.themes;dark-hive
org.primefaces.themes:black-tie;org.primefaces.themes;black-tie
org.primefaces.themes:aristo;org.primefaces.themes;aristo
org.primefaces.themes:pepper-grinder;org.primefaces.themes;pepper-grinder
org.primefaces.themes:home;org.primefaces.themes;home
org.primefaces.themes:delta;org.primefaces.themes;delta
org.primefaces.themes:eggplant;org.primefaces.themes;eggplant
org.primefaces.themes:south-street;org.primefaces.themes;south-street
org.primefaces.themes:glass-x;org.primefaces.themes;glass-x
io.github.lucasbuccilli:mediatR;io.github.lucasbuccilli;mediatR
org.openml:apiconnector;org.openml;apiconnector
de.flapdoodle.java8:de.flapdoodle.java8;de.flapdoodle.java8;de.flapdoodle.java8
com.google.api-ads:google-ads-stubs-v16;com.google.api-ads;google-ads-stubs-v16
dev.vality:fraudbusters-proto;dev.vality;fraudbusters-proto
us.ihmc:atlas-test;us.ihmc;atlas-test
us.ihmc:atlas;us.ihmc;atlas
us.ihmc:ihmc-high-level-behaviors-test;us.ihmc;ihmc-high-level-behaviors-test
us.ihmc:ihmc-high-level-behaviors-libgdx;us.ihmc;ihmc-high-level-behaviors-libgdx
us.ihmc:ihmc-avatar-interfaces-visualizers;us.ihmc;ihmc-avatar-interfaces-visualizers
us.ihmc:ihmc-avatar-interfaces-test;us.ihmc;ihmc-avatar-interfaces-test
us.ihmc:robotiq-hand-drivers-test;us.ihmc;robotiq-hand-drivers-test
us.ihmc:ihmc-avatar-interfaces;us.ihmc;ihmc-avatar-interfaces
us.ihmc:ihmc-high-level-behaviors;us.ihmc;ihmc-high-level-behaviors
us.ihmc:robotiq-hand-drivers;us.ihmc;robotiq-hand-drivers
us.ihmc:ihmc-footstep-planning-visualizers;us.ihmc;ihmc-footstep-planning-visualizers
us.ihmc:ihmc-footstep-planning-test;us.ihmc;ihmc-footstep-planning-test
us.ihmc:ihmc-humanoid-behaviors-test;us.ihmc;ihmc-humanoid-behaviors-test
us.ihmc:ihmc-footstep-planning;us.ihmc;ihmc-footstep-planning
us.ihmc:ihmc-humanoid-behaviors;us.ihmc;ihmc-humanoid-behaviors
us.ihmc:ihmc-path-planning-visualizers;us.ihmc;ihmc-path-planning-visualizers
us.ihmc:ihmc-path-planning-test;us.ihmc;ihmc-path-planning-test
us.ihmc:ihmc-path-planning-data-sets;us.ihmc;ihmc-path-planning-data-sets
us.ihmc:ihmc-perception-test;us.ihmc;ihmc-perception-test
us.ihmc:ihmc-high-level-behaviors-mission-control;us.ihmc;ihmc-high-level-behaviors-mission-control
us.ihmc:example-simulations-test;us.ihmc;example-simulations-test
us.ihmc:ihmc-graphics-test;us.ihmc;ihmc-graphics-test
us.ihmc:ihmc-path-planning;us.ihmc;ihmc-path-planning
us.ihmc:ihmc-perception;us.ihmc;ihmc-perception
us.ihmc:ihmc-manipulation-planning-test;us.ihmc;ihmc-manipulation-planning-test
us.ihmc:example-simulations;us.ihmc;example-simulations
us.ihmc:ihmc-graphics-libgdx-test;us.ihmc;ihmc-graphics-libgdx-test
us.ihmc:ihmc-manipulation-planning;us.ihmc;ihmc-manipulation-planning
us.ihmc:ihmc-simulation-toolkit-test;us.ihmc;ihmc-simulation-toolkit-test
us.ihmc:robot-environment-awareness-visualizers;us.ihmc;robot-environment-awareness-visualizers
us.ihmc:ihmc-common-walking-control-modules-visualizers;us.ihmc;ihmc-common-walking-control-modules-visualizers
us.ihmc:ihmc-graphics-jmonkeyengine-test;us.ihmc;ihmc-graphics-jmonkeyengine-test
us.ihmc:robot-environment-awareness-test;us.ihmc;robot-environment-awareness-test
us.ihmc:ihmc-simulation-toolkit;us.ihmc;ihmc-simulation-toolkit
us.ihmc:ihmc-whole-body-controller-test;us.ihmc;ihmc-whole-body-controller-test
us.ihmc:ihmc-common-walking-control-modules-test;us.ihmc;ihmc-common-walking-control-modules-test
us.ihmc:ihmc-graphics-jmonkeyengine;us.ihmc;ihmc-graphics-jmonkeyengine
us.ihmc:ihmc-state-estimation-test;us.ihmc;ihmc-state-estimation-test
us.ihmc:ihmc-whole-body-controller-benchmarks;us.ihmc;ihmc-whole-body-controller-benchmarks
us.ihmc:robot-environment-awareness-application;us.ihmc;robot-environment-awareness-application
us.ihmc:robot-environment-awareness;us.ihmc;robot-environment-awareness
us.ihmc:ihmc-common-walking-control-modules;us.ihmc;ihmc-common-walking-control-modules
us.ihmc:ihmc-graphics-javafx-test;us.ihmc;ihmc-graphics-javafx-test
us.ihmc:ihmc-state-estimation;us.ihmc;ihmc-state-estimation
us.ihmc:ihmc-whole-body-controller;us.ihmc;ihmc-whole-body-controller
us.ihmc:ihmc-graphics-javafx;us.ihmc;ihmc-graphics-javafx
us.ihmc:ihmc-humanoid-robotics-test;us.ihmc;ihmc-humanoid-robotics-test
us.ihmc:ihmc-graphics;us.ihmc;ihmc-graphics
us.ihmc:ihmc-model-file-loader-test;us.ihmc;ihmc-model-file-loader-test
us.ihmc:ihmc-robot-data-visualizer-test;us.ihmc;ihmc-robot-data-visualizer-test
us.ihmc:ihmc-sensor-processing-test;us.ihmc;ihmc-sensor-processing-test
us.ihmc:ihmc-communication-test;us.ihmc;ihmc-communication-test
us.ihmc:ihmc-humanoid-robotics;us.ihmc;ihmc-humanoid-robotics
us.ihmc:ihmc-perception-slam-wrapper;us.ihmc;ihmc-perception-slam-wrapper
us.ihmc:ihmc-robot-data-visualizer;us.ihmc;ihmc-robot-data-visualizer
us.ihmc:ihmc-ros-tools-test;us.ihmc;ihmc-ros-tools-test
us.ihmc:ihmc-graphics-libgdx;us.ihmc;ihmc-graphics-libgdx
us.ihmc:simulation-construction-set-tools-test;us.ihmc;simulation-construction-set-tools-test
us.ihmc:ihmc-communication;us.ihmc;ihmc-communication
us.ihmc:ihmc-parameter-estimation-test;us.ihmc;ihmc-parameter-estimation-test
us.ihmc:ihmc-parameter-optimization-test;us.ihmc;ihmc-parameter-optimization-test
us.ihmc:ihmc-perception-mapsense-wrapper;us.ihmc;ihmc-perception-mapsense-wrapper
us.ihmc:ihmc-ros-tools;us.ihmc;ihmc-ros-tools
us.ihmc:ihmc-sensor-processing;us.ihmc;ihmc-sensor-processing
us.ihmc:ihmc-java-toolkit-test;us.ihmc;ihmc-java-toolkit-test
us.ihmc:ihmc-model-file-loader;us.ihmc;ihmc-model-file-loader
us.ihmc:ihmc-parameter-optimization;us.ihmc;ihmc-parameter-optimization
us.ihmc:simulation-construction-set-tools;us.ihmc;simulation-construction-set-tools
us.ihmc:ihmc-interfaces-test;us.ihmc;ihmc-interfaces-test
us.ihmc:ihmc-parameter-estimation;us.ihmc;ihmc-parameter-estimation
us.ihmc:ihmc-system-identification-test;us.ihmc;ihmc-system-identification-test
us.ihmc:ihmc-interfaces-generator;us.ihmc;ihmc-interfaces-generator
us.ihmc:ihmc-robot-models-test;us.ihmc;ihmc-robot-models-test
us.ihmc:ihmc-robotics-toolkit-test;us.ihmc;ihmc-robotics-toolkit-test
us.ihmc:ihmc-interfaces;us.ihmc;ihmc-interfaces
us.ihmc:ihmc-java-toolkit;us.ihmc;ihmc-java-toolkit
us.ihmc:ihmc-robot-models;us.ihmc;ihmc-robot-models
us.ihmc:ihmc-robotics-toolkit;us.ihmc;ihmc-robotics-toolkit
us.ihmc:ihmc-system-identification;us.ihmc;ihmc-system-identification
org.maplibre.gl:android-plugin-scalebar-v9;org.maplibre.gl;android-plugin-scalebar-v9
org.maplibre.gl:android-plugin-offline-v9;org.maplibre.gl;android-plugin-offline-v9
org.maplibre.gl:android-plugin-markerview-v9;org.maplibre.gl;android-plugin-markerview-v9
org.maplibre.gl:android-plugin-localization-v9;org.maplibre.gl;android-plugin-localization-v9
org.maplibre.gl:android-plugin-building-v9;org.maplibre.gl;android-plugin-building-v9
org.maplibre.gl:android-plugin-annotation-v9;org.maplibre.gl;android-plugin-annotation-v9
org.maplibre.gl:android-sdk-ktx-v7;org.maplibre.gl;android-sdk-ktx-v7
io.github.hacks1ash:keycloak-spring-boot-adapter;io.github.hacks1ash;keycloak-spring-boot-adapter
dev.vality:fraudo;dev.vality;fraudo
digital.nedra.commons:super-pom;digital.nedra.commons;super-pom
org.tango-controls:Jive;org.tango-controls;Jive
io.infinicast:infinicast-client;io.infinicast;infinicast-client
io.github.K7487:hh-tool;io.github.K7487;hh-tool
digital.nedra.commons:build-tools;digital.nedra.commons;build-tools
io.github.amikos-tech:chromadb-java-client;io.github.amikos-tech;chromadb-java-client
com.azure.resourcemanager:azure-resourcemanager-operationsmanagement;com.azure.resourcemanager;azure-resourcemanager-operationsmanagement
cn.sliew:carp-module-export;cn.sliew;carp-module-export
com.ziqni:ziqni-transformer-test;com.ziqni;ziqni-transformer-test
com.ziqni:ziqni-transformers;com.ziqni;ziqni-transformers
com.sumologic.api.client:sumo-java-client;com.sumologic.api.client;sumo-java-client
pl.iterators:sealed-monad_3;pl.iterators;sealed-monad_3
pl.iterators:sealed-monad_sjs1_2.13;pl.iterators;sealed-monad_sjs1_2.13
pl.iterators:sealed-monad_sjs1_3;pl.iterators;sealed-monad_sjs1_3
pl.iterators:sealed-monad_2.13;pl.iterators;sealed-monad_2.13
pl.iterators:sealed-monad_native0.5_3;pl.iterators;sealed-monad_native0.5_3
pl.iterators:sealed-monad_native0.5_2.13;pl.iterators;sealed-monad_native0.5_2.13
com.zuora.sdk:catalog;com.zuora.sdk;catalog
com.zuora.sdk:catalog-core;com.zuora.sdk;catalog-core
com.zuora.sdk:catalog-parent;com.zuora.sdk;catalog-parent
fr.acinq.lightning:lightning-kmp-macosx64;fr.acinq.lightning;lightning-kmp-macosx64
fr.acinq.lightning:lightning-kmp-macosarm64;fr.acinq.lightning;lightning-kmp-macosarm64
fr.acinq.lightning:lightning-kmp-linuxx64;fr.acinq.lightning;lightning-kmp-linuxx64
com.factset.protobuf:stachextensions;com.factset.protobuf;stachextensions
fr.acinq.lightning:lightning-kmp-jvm;fr.acinq.lightning;lightning-kmp-jvm
fr.acinq.lightning:lightning-kmp-iosx64;fr.acinq.lightning;lightning-kmp-iosx64
fr.acinq.lightning:lightning-kmp-iossimulatorarm64;fr.acinq.lightning;lightning-kmp-iossimulatorarm64
fr.acinq.lightning:lightning-kmp-iosarm64;fr.acinq.lightning;lightning-kmp-iosarm64
io.r2dbc:r2dbc-pool;io.r2dbc;r2dbc-pool
fr.acinq.lightning:lightning-kmp;fr.acinq.lightning;lightning-kmp
io.github.mqwerm98:munzi-log;io.github.mqwerm98;munzi-log
com.highstreet-technologies.org.ops4j.pax.web:pax-web-jetty;com.highstreet-technologies.org.ops4j.pax.web;pax-web-jetty
org.postgresql:r2dbc-postgresql;org.postgresql;r2dbc-postgresql
io.github.beesads:b4Admob;io.github.beesads;b4Admob
com.meowool:mmkv;com.meowool;mmkv
com.meowool:mmkv-compiler;com.meowool;mmkv-compiler
com.ehsy.docking:e-commerce-docking-sdk;com.ehsy.docking;e-commerce-docking-sdk
at.austriapro:ebinterface-xrechnung-mapping;at.austriapro;ebinterface-xrechnung-mapping
com.azure.resourcemanager:azure-resourcemanager-customerinsights;com.azure.resourcemanager;azure-resourcemanager-customerinsights
at.austriapro:ebinterface-ubl-mapping;at.austriapro;ebinterface-ubl-mapping
net.sf.jasperreports:jasperreports-custom-visualization;net.sf.jasperreports;jasperreports-custom-visualization
com.azure.resourcemanager:azure-resourcemanager-fabric;com.azure.resourcemanager;azure-resourcemanager-fabric
io.joern:flatgraph-formats_3;io.joern;flatgraph-formats_3
io.joern:flatgraph-domain-classes-generator_2.12;io.joern;flatgraph-domain-classes-generator_2.12
io.joern:flatgraph-domain-classes-generator_3;io.joern;flatgraph-domain-classes-generator_3
io.joern:flatgraph-core_3;io.joern;flatgraph-core_3
io.joern:flatgraph-help_3;io.joern;flatgraph-help_3
