de.wayofquality.blended:blended.akka.http.restjms_2.13;de.wayofquality.blended;blended.akka.http.restjms_2.13
de.wayofquality.blended:blended.akka.http.proxy_2.13;de.wayofquality.blended;blended.akka.http.proxy_2.13
de.wayofquality.blended:blended.akka.http.jmsqueue_2.13;de.wayofquality.blended;blended.akka.http.jmsqueue_2.13
de.wayofquality.blended:blended.akka.http_2.13;de.wayofquality.blended;blended.akka.http_2.13
de.wayofquality.blended:blended.akka_2.13;de.wayofquality.blended;blended.akka_2.13
de.wayofquality.blended:blended.activemq.client_2.13;de.wayofquality.blended;blended.activemq.client_2.13
de.wayofquality.blended:blended.activemq.brokerstarter_2.13;de.wayofquality.blended;blended.activemq.brokerstarter_2.13
com.theahoyapp:ahoy-maps;com.theahoyapp;ahoy-maps
cn.com.antcloud.api:antcloud-api-provider-ak_1f51f68dfc5d438387dbbaa76f5997f4;cn.com.antcloud.api;antcloud-api-provider-ak_1f51f68dfc5d438387dbbaa76f5997f4
cn.com.antcloud.api:antcloud-api-ak_1f51f68dfc5d438387dbbaa76f5997f4;cn.com.antcloud.api;antcloud-api-ak_1f51f68dfc5d438387dbbaa76f5997f4
com.antgroup.antchain.openapi:openapi-ak_1f51f68dfc5d438387dbbaa76f5997f4;com.antgroup.antchain.openapi;openapi-ak_1f51f68dfc5d438387dbbaa76f5997f4
